Aset;Period;Device Model;Category;Serial Number;Status;Location
Zona;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070001;In Use;Cut Mutia Meeting Room
Zona;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070002;In Use;Cut Mutia Meeting Room
Zona;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070003;Repair;Cut Nyak Dien Meeting Room
Zona;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070004;In Use;Cut Nyak Dien Meeting Room
Zona;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070005;In Use;Imam Bonjol Meeting Room
Zona;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070006;In Use;Imam Bonjol Meeting Room
Zona;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070007;Repair;Klinik Meeting Room
Zona;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070008;In Use;Klinik Meeting Room
Zona;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070009;In Use;Aula Meeting Room
Zona;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070010;In Use;Aula Meeting Room
Zona;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070011;In Use;Aula Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070012;In Use;Aula Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070013;In Use;Aula Meeting Room
Zona;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070014;In Use;Aula Meeting Room
Zona;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070015;In Use;Aula Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070016;In Use;Aula Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070017;In Use;Aula Meeting Room
Zona;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070018;In Use;Aula Meeting Room
Zona;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070019;In Use;Aula Meeting Room
Zona;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070020;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD2/SM58 Wireless Handheld Mic (1);Microphone;MMD202608070021;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD2/SM58 Wireless Handheld Mic (2);Microphone;MMD202608070022;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD2/SM58 Wireless Handheld Mic (3);Microphone;MMD202608070023;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD2/SM58 Wireless Handheld Mic (4);Microphone;MMD202608070024;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070025;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070026;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070027;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070028;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070029;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070030;In Use;Aula Meeting Room
Zona;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070031;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070032;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070033;In Use;Aula Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (3);Microphone;MMD202608070034;In Use;Aula Meeting Room
Zona;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070035;In Use;Aula Meeting Room
Zona;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070036;In Use;Aula Meeting Room
Zona;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070037;In Use;General Manager Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070038;Repair;General Manager Meeting Room
Zona;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070039;Repair;General Manager Meeting Room
Zona;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070040;Repair;General Manager Meeting Room
Zona;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070041;In Use;General Manager Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070042;Repair;General Manager Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070043;Repair;General Manager Meeting Room
Zona;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070044;Repair;General Manager Meeting Room
Zona;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070045;Repair;General Manager Meeting Room
Zona;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070046;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070047;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070048;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070049;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070050;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070051;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070052;Repair;General Manager Meeting Room
Zona;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070053;Repair;General Manager Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (1);Microphone;MMD202608070054;Repair;General Manager Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (2);Microphone;MMD202608070055;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070056;Repair;General Manager Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070057;Repair;General Manager Meeting Room
Zona;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070058;Repair;General Manager Meeting Room
Zona;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070059;In Use;General Manager Meeting Room
Zona;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070060;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070061;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070062;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070063;In Use;Sultan Syahrir Meeting Room
